ID,Incidence
6c06615,-3600696.453406818
e0cf76e,-3599893.996632591
e9f95f0,-3599145.123310879
5dffe44,-3599270.1802141145
9f9ea9b,-3600003.6929357946
6896488,-3600615.672347218
876b028,-3541047.945697561
7ce72e2,-3540245.488921128
9cd2749,-3539496.615594864
84719e8,-3539621.6725008413
22ae4c5,-3540355.185221158
18a4727,-3540967.164633073
0c22b19,-3668141.184423417
6482a24,-3667338.727638617
ecefe76,-3666589.8543244153
d6c69da,-3666714.911215298
eb5d6cb,-3667448.423932314
403aca5,-3668060.4033615366
a2b95d6,-2682294.758940585
a1908a8,-2681492.3021670356
505415e,-2680743.4288545474
f786e41,-2680868.485736765
8f00430,-2681601.998455487
7b1c086,-2682213.9778897986
8121180,138066.1376991421
0e04943,138868.59452065825
96eee48,139617.46778559685
ffd7748,139492.41096984595
3e6ac0c,138758.8982378617
e6616d1,138146.91876727343
7b252b3,-1568314.8516815677
0c7ff70,-1567512.3948720247
76b1fbc,-1566763.521594286
8d795b9,-1566888.5784113556
30f3314,-1567622.0911317691
e0765bb,-1568234.0706036314
15d61cd,-6707675.022924647
d7351a4,-6706872.566112168
a02a8c9,-6706123.692835577
f35189b,-6706248.749651372
6f45b0a,-6706982.262374155
ee3fc13,-6707594.241845168
c913d68,-5204033.32790266
4dec7bf,-5203230.871211685
daaff37,-5202481.997830451
e5a07d3,-5202607.054711245
efd06d0,-5203340.567442872
c037c6b,-5203952.546875656
1110030,-4282766.806829609
6ce4789,-4281964.350130595
c5eb9ac,-4281215.476749621
76d7382,-4281340.533639275
9a3ba7e,-4282074.046368927
f200b42,-4282686.025806323
1c4e1dc,4830325.5444097
aa0d75e,4831128.001107477
fd1647d,4831876.874487743
4fb9ace,4831751.817600302
a26e712,4831018.30486773
b0179d2,4830406.325431727
23043db,835830.2162956148
655708c,836632.6730251759
2187861,837381.5463682935
06e7330,837256.489479728
ee7f0e4,836522.9767552316
2d72e8f,835910.9973219335
e250a73,-5165095.4374341145
b21c05b,-5164292.980761394
