ID,Incidence
6c06615,2445.18497255721
e0cf76e,3062.2250649463967
e9f95f0,3500.914633014152
5dffe44,3326.5107972260157
9f9ea9b,2769.8574154294038
6896488,2324.8078149134526
876b028,2569.0245480918675
7ce72e2,3186.064640481025
9cd2749,3624.754208548751
84719e8,3450.350372760673
22ae4c5,2893.696990964061
18a4727,2448.6473904479935
0c22b19,2646.539094327367
6482a24,3267.757827696303
ecefe76,3705.8533936183376
d6c69da,3532.882573027513
eb5d6cb,2967.565230241482
403aca5,2530.9422707237827
a2b95d6,2927.710726380028
a1908a8,3548.9294597490516
505415e,3987.0250256709696
f786e41,3814.054205080174
8f00430,3248.7368622942304
7b1c086,2812.113902776531
8121180,2909.919792352506
0e04943,3528.185187550698
96eee48,3966.134463042021
ffd7748,3796.075430018507
3e6ac0c,3230.068297272519
e6616d1,2792.8723706912133
7b252b3,3057.0107305287966
0c7ff70,3675.2761257270467
76b1fbc,4113.22540121834
8d795b9,3943.166368194885
30f3314,3377.1592354489258
e0765bb,2939.9633088674746
15d61cd,3274.4489378160215
d7351a4,3892.71433301433
a02a8c9,4330.663608505623
f35189b,4160.604575482139
6f45b0a,3594.5974427360925
ee3fc13,3157.4015161546995
c913d68,3332.4798078118765
4dec7bf,3950.745203010156
daaff37,4388.694478501537
e5a07d3,4218.635445477994
efd06d0,3652.6283127319475
c037c6b,3215.432386150642
1110030,3385.807563830662
6ce4789,4004.0729590289993
c5eb9ac,4442.022234520322
76d7382,4271.96320149675
9a3ba7e,3705.956068750733
f200b42,3268.760142169427
1c4e1dc,3566.8947608103044
aa0d75e,4185.160156008584
fd1647d,4623.109431499848
4fb9ace,4453.0503984763345
a26e712,3887.0432657303463
b0179d2,3449.8473391490115
23043db,3642.2929713987396
655708c,4260.558366596961
2187861,4698.507642088225
06e7330,4528.448609064828
ee7f0e4,3962.4414763188106
2d72e8f,3525.2455497374467
e250a73,2444.647221499763
b21c05b,3062.9126166975766
9b375a0,3500.8618921892776
68e4a96,3330.802859165764
89b9241,2764.7957264202414
05c79d9,2327.5997998379753
5c825db,2999.718033248442
b9e498c,3617.983428446285
60895de,4055.932703937957
f5cfb0a,3885.873670914414
8363c20,3319.8665381689207
cb7a4a3,2882.6706115866546
4cc27bd,2706.753306081344
c43f8b3,3328.19144149113
689a8af,3764.2796930213517
4092aca,3592.059968374291
6bb2b7e,3024.563691406016
49276dd,2589.4331831065065
e82d3eb,3056.1913137848314
fa9d74c,3677.6294491946173
d2f7027,4113.717700724839
52dadec,3941.4979760777787
f6a42a9,3374.0016991095035
9301297,2938.871190809994
e390ed9,2887.307577746251
495c3ec,3508.745713156037
0f6a44d,3944.8339646862587
9509b6f,3772.614240039198
aeed999,3205.117963070923
0c3b4fb,2769.9874547714135
2187382,3191.9354868788505
0cb37bd,3813.3736222886364
095a94a,4249.461873818858
4ba2ebb,4077.242149171798
22a1bcb,3509.7458722035226
f53493d,3074.615363904013
e0929cc,3550.962342599494
834618e,4172.40047800928
2d50839,4608.488729539502
84c14e8,4436.269004892441
4529661,3868.7727279241662
8ba2c39,3433.6422196246567
87079ae,3973.564850930561
438ff1c,4595.002986340347
0c2f158,5031.091237870569
